ID,BARANGAY,LONGITUDE,LATITUDE
1,Anonas,120.5753,15.998
2,Bactad East,120.6265,15.9802
3,Bayaoas,120.5772,15.9761
4,Bolaoen,120.606,15.9926
5,Cabaruan,120.5236,15.9453
6,Cabuloan,120.6014,15.9764
7,Camanang,120.5938,15.9612
8,Camantiles,120.5455,15.9895
9,Casantaan,120.6087,15.99
10,Catablan,120.4979,15.9686
11,Cayambanan,120.5921,15.999
12,Consolacion,120.5998,15.9558
13,Dilan Paurido,120.5883,15.9815
14,Dr. Pedro T. Orata (Bactad Proper),120.6082,15.9769
15,Labit Proper,120.5301,15.9567
16,Labit West,120.5151,15.9571
17,Mabanogbog,120.5539,15.9852
18,Macalong,120.6101,15.9659
19,Nancalobasaan,120.6023,16.0085
20,Nancamaliran East,120.5575,15.9742
21,Nancamaliran West,120.5418,15.977
22,Nancayasan,120.5764,15.954
23,Oltama,120.5023,15.9477
24,Palina East,120.5614,15.9517
25,Palina West,120.5467,15.9575
26,Pinmaludpod,120.5324,15.981
27,Poblacion,120.566,15.9757
28,San Jose,120.5048,15.982
29,San Vicente,120.5725,15.9887
30,Santa Lucia,120.5557,15.9686
31,Santo Domingo,120.5638,15.9623
32,Sugcong,120.5326,15.9434
33,Tipuso,120.613,15.9705
34,Tulong,120.5719,16.0102
